created,tweet_text,ko_text,nouns
Thu Feb 10 06:40:36 +0000 2022,........좀비고는최고의게임이다....,좀비고는최고의게임이다,"['좀비', '최고']"
Thu Feb 10 06:40:35 +0000 2022,"하우징 쉘 케이스 커버 + 스크린 렌즈 수호자 + 게임 보이 어드밴스 GBA 콘솔 용 스틱 라벨, 02 Yellow ON Blue https://t.co/dvaeMs3im1 파트너스 활동으로 수수료를 받을수… https://t.co/y1tvQBoZXB",하우징 쉘 케이스 커버  스크린 렌즈 수호자  게임 보이 어드밴스  콘솔 용 스틱 라벨      파트너스 활동으로 수수료를 받을수 ,"['케이스', '커버', '스크린', '렌즈', '수호', '보이', '어드밴스', '콘솔', '스틱', '라벨', '파트너', '활동', '수수료']"
Thu Feb 10 06:40:34 +0000 2022,"RT @m_novel_blue: [리디북스] 7일의 행복 1권 무료❣️(~2/13)
읽을수록 쌓이는 포인트😍

카호야스 &lt;400일 동안 400번 죽은 빙의자는 어떠신가요?&gt;
👉https://t.co/MwduapmdS0

「미친 소리 같겠지만, 나는…",  리디북스 일의 행복 권 무료읽을수록 쌓이는 포인트카호야스 일 동안 번 죽은 빙의자는 어떠신가요미친 소리 같겠지만 나는,"['리디북스', '행복', '무료', '포인트', '카호', '야스', '빙의', '가요', '소리']"
Thu Feb 10 06:40:33 +0000 2022,"RT @YAYOFLAKE: 아니 진짜 이게 제일 어이없고 웃겨
3부 게임 다비전에서 폴나레프랑 내기할때 1/256의 확률로 고양이가 배신 때린다는거

나니이이잇! 하는거 듣고 매번 무저항으로 터져서 쓰러짐 https://t.co/uKYkelCci6",  아니 진짜 이게 제일 어이없고 웃겨부 게임 다비전에서 폴나레프랑 내기할때 의 확률로 고양이가 배신 때린다는거나니이이잇 하는거 듣고 매번 무저항으로 터져서 쓰러짐 ,"['제일', '다비', '레프', '내기', '확률', '고양이', '배신', '이이', '무저항']"
Thu Feb 10 06:40:32 +0000 2022,ㄹㅇ 그 스마게인데도 실드치는사람보묜 걍... 아넵..하게됨 차라리 실드치지말고 게임만하면 음 그래 재미있나보지 하겠는데 실드까지친다? 좀..그라...,ㄹㅇ 그 스마게인데도 실드치는사람보묜 걍 아넵하게됨 차라리 실드치지말고 게임만하면 음 그래 재미있나보지 하겠는데 실드까지친다 좀그라,"['스마', '실드', '람보', '아넵', '실드', '만하', '보지', '실드', '좀그']"
Thu Feb 10 06:40:31 +0000 2022,"RT @XODZJDLQSLEK: ★ RT OI벤트 ★
인생게임중 하나인 라이브 어 라이브 / LIVE A LIVE / 라어라의 리메이크를 자축하며... 리트윗 하신 한 분을 추첨해 발매일에 해당 게임을 선물해드립니다! https://t.co/ehcF…",    벤트 인생게임중 하나인 라이브 어 라이브      라어라의 리메이크를 자축하며 리트윗 하신 한 분을 추첨해 발매일에 해당 게임을 선물해드립니다 ,"['벤트', '인생게임', '라이브', '라이브', '리메이크', '자축', '리트윗', '추첨', '발매', '해당', '선물']"
Thu Feb 10 06:40:30 +0000 2022,"RT @arcticcave: 출시 예정인 실시간 전략 카드게임 레조넌스 솔스티스 (雷索纳斯, Resonance Solstice)의 메인 일러스트를 담당하였습니다.이 게임에서 주인공은 특수한 열차의 차장이 되어 여러가지 일을 해결 해 나갑니다. 앞으로…",  출시 예정인 실시간 전략 카드게임 레조넌스 솔스티스   의 메인 일러스트를 담당하였습니다이 게임에서 주인공은 특수한 열차의 차장이 되어 여러가지 일을 해결 해 나갑니다 앞으로,"['출시', '예정', '실시간', '전략', '카드게임', '레조', '넌스', '솔스', '티스', '메인', '일러스트', '담당', '주인공', '열차', '차장', '여러가지', '해결']"
Thu Feb 10 06:40:29 +0000 2022,"RT @ppsskr: 잘 ‘무시’해야 성공합니다
https://t.co/WEDa47Atgj

우리의 일상은 결국 유한한 각자의 24시간을 어떻게 배분하냐의 문제이고, 이를 위해서는 선택과 집중을 잘해야 합니다. 게임 캐릭터의 스탯 같은 거죠.

그런…",  잘 무시해야 성공합니다우리의 일상은 결국 유한한 각자의 시간을 어떻게 배분하냐의 문제이고 이를 위해서는 선택과 집중을 잘해야 합니다 게임 캐릭터의 스탯 같은 거죠그런,"['무시', '일상', '유한', '배분', '문제', '선택', '집중', '잘해야', '캐릭터', '스탯']"
Thu Feb 10 06:40:24 +0000 2022,"올해 초 관심가는 게임
영웅전설 여의 궤적
Sifu
유희왕 마스터듀얼
트라이앵글 스트레이티지",올해 초 관심가는 게임영웅전설 여의 궤적유희왕 마스터듀얼트라이앵글 스트레이티지,"['올해', '관심', '영웅전설', '여의', '유희왕', '마스터', '듀얼', '트라이앵글', '스트', '레이티']"
Thu Feb 10 06:40:21 +0000 2022,RT @hoho_5280: 이 친구 잇츠미 에 나오는 캐에요 다들 인용에 어디 장르냐고 해서 써둠 아까 막 트레일러 나온 게임~ https://t.co/iqecyKhEnZ,  이 친구 잇츠미 에 나오는 캐에요 다들 인용에 어디 장르냐고 해서 써둠 아까 막 트레일러 나온 게임 ,"['친구', '잇츠미', '인용', '장르', '트레일러']"
